10000 10000
1947 284 62783
7348 5060 88464
632 607 86177
3501 3814 65347
6811 6697 79016
3 195 34223
8669 9461 77590
1970 9053 29531
8456 173 99353
5580 338 58876
7097 1951 16204
443 5091 41854
8141 326 97989
4589 6007 54649
1480 2226 65249
2129 9196 43452
2897 4679 57296
6843 4632 32051
9301 2740 61406
3407 4706 40876
561 995 18614
584 8483 53701
4168 7745 39865
6354 2565 84970
7138 3344 37448
4717 2940 84421
2562 9400 16100
3795 9363 59231
4042 8692 27091
8169 9273 38116
6756 4139 79326
8400 391 61578
6712 1144 22074
2740 4159 70456
1323 770 73414
678 9134 17817
2265 882 12078
2786 8301 31666
1659 376 83728
3880 4636 66390
2137 4533 88042
6786 8977 55988
1100 1333 12885
6566 5433 2110
6231 3043 5211
2194 5868 23396
8575 693 14863
6084 3162 61626
7755 2156 2708
6081 6324 85172
1307 5812 65196
8350 566 75253
2850 9320 25987
9785 5158 97726
6782 7418 75156
1181 7414 98552
6171 9265 77088
6241 5208 58787
5148 7308 9892
9951 3846 72723
2874 8572 68148
3816 8242 86653
7315 574 44389
5570 3821 45363
8883 7346 75964
227 1281 26649
5311 3600 86955
5693 1710 12551
4999 3589 89645
4696 1157 9291
9969 5177 17579
655 2627 19492
6189 2989 9500
5626 9958 21835
6648 8788 28078
5926 1815 80087
5471 3746 93315
4985 6157 88981
2596 9618 12370
2824 360 45826
1954 2521 56002
9156 438 89482
9579 9891 38511
8923 3562 71290
5038 3876 10376
9244 1713 63197
2658 1031 39300
8890 4658 87316
1324 1434 90414
1781 7461 87874
409 582 85335
5566 19 3529
7570 4624 23830
3398 3350 26503
3493 6049 53293
9785 2654 19463
1972 117 18175
347 120 64560
7284 6688 73024
5862 8699 27881
7206 2068 93915
5746 909 71770
257 7832 29749
7771 6630 45177
1972 9923 39029
4135 9596 35243
2987 605 12143
8795 1152 1906
3342 6869 72688
4275 323 19913
3006 2790 33582
4942 3170 71466
9862 6103 90412
7221 115 18162
8287 4288 12065
9541 3838 6893
5306 5734 19864
7422 480 53356
6869 2870 74564
3292 4489 94473
5015 6615 45023
58 9998 1707
2062 2955 53540
587 5234 18540
1058 453 57013
7944 8276 93482
1788 1838 67345
9123 3187 64316
8877 8337 62173
6158 2108 48009
6891 4149 21997
5745 6647 65087
6743 2302 22232
2021 7433 87293
6771 6417 39497
7060 4105 26237
168 4712 17551
2290 5556 60228
1333 9322 7425
8617 6679 31845
6439 2060 12386
8264 9167 93508
6129 5718 55946
1464 9520 59528
9640 1350 60982
3084 2988 66272
2612 7573 1695
9511 1820 96146
3938 8438 25052
3767 5301 83348
7655 4833 53152
5491 6374 60732
2460 8594 76818
3437 289 96701
5908 3701 49190
7347 8120 1663
887 181 37249
6848 6902 96227
5201 1003 1399
589 6754 42596
8820 2596 46543
4628 8047 59524
8961 5213 31589
5564 1403 6113
8133 9614 83079
8633 4026 15595
626 3253 38547
1705 5334 45255
5852 8910 38231
2536 6610 39639
3218 5440 92680
3565 5989 61304
9607 7912 17390
8125 4666 55167
2560 8902 43606
5967 9986 81150
6436 5132 72431
8851 9061 75655
5218 2404 34041
7705 4381 9530
574 4872 77558
7922 3477 70756
1958 2831 43508
5118 4281 60137
2984 1609 39130
8695 8971 91809
4426 5597 37476
8368 2867 5284
4604 8438 80508
207 3378 37970
6901 7922 71407
4482 3073 66304
6796 1747 65360
538 2242 87737
6235 5303 95039
2136 526 96280
6076 1787 17079
5183 5601 60986
1601 7562 19892
3725 4900 82947
6057 5921 58096
6802 4890 13820
1345 1626 52516
587 1570 22771
7568 8215 30847
6588 6287 2650
7078 3602 57464
7189 7390 87218
8075 5543 72030
6073 1094 84839
5226 2864 97233
9740 3498 19135
3971 6622 93506
1436 206 51122
3461 5680 1629
4079 4400 60907
3845 6277 76839
298 8361 9674
3875 5380 46031
6665 6018 26733
7639 2853 13924
3653 4693 63318
6381 308 66978
1262 6094 88859
5514 1953 23556
2873 9129 39796
4585 9621 14288
2298 8204 52003
1446 4679 42985
3722 9378 50373
2419 608 31606
3968 5660 41498
9845 3181 34659
6029 648 64256
2932 9429 71824
1966 3841 28788
9054 686 61317
9020 9807 95355
1060 111 90230
2150 8899 62958
3260 7207 67469
8396 7483 3937
9692 4296 16572
7656 7420 68879
